7,medium,expert,11,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
7,medium,expert,12,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
7,medium,expert,13,9 ♦,"['9 ♠', '9 ♣']",9 ♣,"['bot1', 'bot2']",9

Game Number,7,Final Scores
bot1,45.5
bot2,45.5
Winner,"['bot1', 'bot2']"

8,medium,expert,1,8 ♦,"['8 ♠', '1 ♣']",1 ♣,bot1,8
8,medium,expert,2,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
8,medium,expert,3,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
8,medium,expert,4,4 ♦,"['4 ♠', '2 ♣']",2 ♣,bot1,4
8,medium,expert,5,5 ♦,"['5 ♠', '3 ♣']",3 ♣,bot1,5
8,medium,expert,6,7 ♦,"['7 ♠', '4 ♣']",4 ♣,bot1,7
8,medium,expert,7,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
8,medium,expert,8,6 ♦,"['6 ♠', '5 ♣']",5 ♣,bot1,6
8,medium,expert,9,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
8,medium,expert,10,9 ♦,"['9 ♠', '6 ♣']",6 ♣,bot1,9
8,medium,expert,11,1 ♦,"['1 ♠', '7 ♣']",7 ♣,bot2,1
8,medium,expert,12,2 ♦,"['2 ♠', '8 ♣']",8 ♣,bot2,2
8,medium,expert,13,3 ♦,"['3 ♠', '9 ♣']",9 ♣,bot2,3

Game Number,8,Final Scores
bot1,62.0
bot2,29.0
Winner,bot1

9,medium,expert,1,1 ♦,"['1 ♠', '1 ♣']",1 ♣,"['bot1', 'bot2']",1
9,medium,expert,2,9 ♦,"['9 ♠', '2 ♣']",2 ♣,bot1,9
9,medium,expert,3,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
9,medium,expert,4,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
9,medium,expert,5,7 ♦,"['7 ♠', '3 ♣']",3 ♣,bot1,7
9,medium,expert,6,2 ♦,"['2 ♠', '4 ♣']",4 ♣,bot2,2
9,medium,expert,7,8 ♦,"['8 ♠', '5 ♣']",5 ♣,bot1,8
9,medium,expert,8,3 ♦,"['3 ♠', '6 ♣']",6 ♣,bot2,3
9,medium,expert,9,4 ♦,"['4 ♠', '7 ♣']",7 ♣,bot2,4
9,medium,expert,10,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
9,medium,expert,11,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
9,medium,expert,12,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
9,medium,expert,13,6 ♦,"['6 ♠', '9 ♣']",9 ♣,bot2,6

Game Number,9,Final Scores
bot1,47.5
bot2,43.5
Winner,bot1

10,medium,expert,1,2 ♦,"['2 ♠', '1 ♣']",1 ♣,bot1,2
10,medium,expert,2,6 ♦,"['6 ♠', '2 ♣']",2 ♣,bot1,6
10,medium,expert,3,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
10,medium,expert,4,8 ♦,"['8 ♠', '3 ♣']",3 ♣,bot1,8
10,medium,expert,5,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
10,medium,expert,6,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
10,medium,expert,7,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
10,medium,expert,8,9 ♦,"['9 ♠', '5 ♣']",5 ♣,bot1,9
10,medium,expert,9,7 ♦,"['7 ♠', '6 ♣']",6 ♣,bot1,7
10,medium,expert,10,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
10,medium,expert,11,3 ♦,"['3 ♠', '7 ♣']",7 ♣,bot2,3
10,medium,expert,12,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
10,medium,expert,13,1 ♦,"['1 ♠', '9 ♣']",9 ♣,bot2,1

Game Number,10,Final Scores
bot1,57.0
bot2,34.0
Winner,bot1

11,medium,expert,1,6 ♦,"['6 ♠', '1 ♣']",1 ♣,bot1,6
11,medium,expert,2,7 ♦,"['7 ♠', '2 ♣']",2 ♣,bot1,7
11,medium,expert,3,2 ♦,"['2 ♠', '3 ♣']",3 ♣,bot2,2
11,medium,expert,4,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
11,medium,expert,5,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
11,medium,expert,6,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
11,medium,expert,7,3 ♦,"['3 ♠', '5 ♣']",5 ♣,bot2,3
11,medium,expert,8,1 ♦,"['1 ♠', '6 ♣']",6 ♣,bot2,1
11,medium,expert,9,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
11,medium,expert,10,8 ♦,"['8 ♠', '7 ♣']",7 ♣,bot1,8
11,medium,expert,11,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
11,medium,expert,12,9 ♦,"['9 ♠', '8 ♣']",8 ♣,bot1,9
11,medium,expert,13,5 ♦,"['5 ♠', '9 ♣']",9 ♣,bot2,5

Game Number,11,Final Scores
bot1,55.0
bot2,36.0
Winner,bot1

12,medium,expert,1,9 ♦,"['9 ♠', '1 ♣']",1 ♣,bot1,9
12,medium,expert,2,2 ♦,"['2 ♠', '2 ♣']",2 ♣,"['bot1', 'bot2']",2
12,medium,expert,3,7 ♦,"['7 ♠', '3 ♣']",3 ♣,bot1,7
12,medium,expert,4,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
12,medium,expert,5,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
12,medium,expert,6,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
12,medium,expert,7,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
12,medium,expert,8,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
12,medium,expert,9,8 ♦,"['8 ♠', '5 ♣']",5 ♣,bot1,8
12,medium,expert,10,6 ♦,"['6 ♠', '6 ♣']",6 ♣,"['bot1', 'bot2']",6
12,medium,expert,11,3 ♦,"['3 ♠', '7 ♣']",7 ♣,bot2,3
12,medium,expert,12,5 ♦,"['5 ♠', '8 ♣']",8 ♣,bot2,5
12,medium,expert,13,1 ♦,"['1 ♠', '9 ♣']",9 ♣,bot2,1

Game Number,12,Final Scores
bot1,53.0
bot2,38.0
Winner,bot1

13,medium,expert,1,12 ♦,"['12 ♠', '12 ♣']",12 ♣,"['bot1', 'bot2']",12
13,medium,expert,2,13 ♦,"['13 ♠', '13 ♣']",13 ♣,"['bot1', 'bot2']",13
13,medium,expert,3,7 ♦,"['7 ♠', '1 ♣']",1 ♣,bot1,7
13,medium,expert,4,2 ♦,"['2 ♠', '2 ♣']",2 ♣,"['bot1', 'bot2']",2
13,medium,expert,5,10 ♦,"['10 ♠', '10 ♣']",10 ♣,"['bot1', 'bot2']",10
13,medium,expert,6,11 ♦,"['11 ♠', '11 ♣']",11 ♣,"['bot1', 'bot2']",11
13,medium,expert,7,8 ♦,"['8 ♠', '3 ♣']",3 ♣,bot1,8
13,medium,expert,8,4 ♦,"['4 ♠', '4 ♣']",4 ♣,"['bot1', 'bot2']",4
13,medium,expert,9,5 ♦,"['5 ♠', '5 ♣']",5 ♣,"['bot1', 'bot2']",5
13,medium,expert,10,9 ♦,"['9 ♠', '6 ♣']",6 ♣,bot1,9
